substance,name,form,aktiv_substans,size_unit,kategori,size,article_id,atc
Antiflogistikum med analgetisk och antipyretisk effekt,"Diclofenac T ratiopharm, Filmdragerad tablett 25 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",10,055086,M01AB05
Antiflogistikum med analgetisk och antipyretisk effekt,"Diclofenac T ratiopharm, Filmdragerad tablett 25 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",100,004631,M01AB05
Antiflogistikum med analgetisk och antipyretisk effekt,"Diclofenac T ratiopharm, Filmdragerad tablett 25 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",20,043931,M01AB05
Antiviralt medel,"Anti, Kräm 5 %",Flaska,Aciklovir,g,Mun & tänder,2,094969,D06BB03
Antiviralt medel,"Anti, Kräm 5 %",Tub,Aciklovir,g,Mun & tänder,2,000528,D06BB03
Antiviralt medel,"Anti, Kräm 5 %",Tub,Aciklovir,g,Mun & tänder,5,000594,D06BB03
"Analgetikum, antipyretikum","Panodil Brus, Brustablett 500 mg",Strip,Paracetamol,st,"Förkylning, värk & feber",20,165273,N02BE01
"Analgetikum, antipyretikum","Panodil Brus, Brustablett 500 mg",Strip,Paracetamol,st,"Förkylning, värk & feber",24,550061,N02BE01
"Analgetikum, antipyretikum","Panodil Brus, Brustablett 500 mg",Strip,Paracetamol,st,"Förkylning, värk & feber",60,082819,N02BE01
"Analgetikum, antipyretikum","Panodil Brus, Brustablett 500 mg",Strip,Paracetamol,st,"Förkylning, värk & feber",100,559674,N02BE01
Medel mot karies,"Fluorette Mint, Medicinskt tuggummi 0,25 mg",Blister,Natriumfluorid,st,Mun & tänder,36,040551,A01AA01
Medel mot karies,"Fluorette Mint, Medicinskt tuggummi 0,25 mg",Blister,Natriumfluorid,st,Mun & tänder,108,040560,A01AA01
Medel mot karies,"Fluorette Mint, Medicinskt tuggummi 0,25 mg",Blister,Natriumfluorid,st,Mun & tänder,324,040569,A01AA01
Antiflogistikum med analgetisk och antipyretisk verkan,"Ipren, Filmdragerad tablett 200 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",30,460949,M01AE01
Övriga utvärtes medel vid hudmykoser,"Amorolfin Apofri, Medicinskt nagellack 5 %",Flaska,Amorolfin,ml,Händer & fötter,3,522985,D01AE16
Övriga utvärtes medel vid hudmykoser,"Terbisil, Kräm 10 mg/g",Tub,Terbinafin,g,Händer & fötter,15,076487,D01AE15
Övriga utvärtes medel vid hudmykoser,"Terbisil, Kräm 10 mg/g",Tub,Terbinafin,g,Händer & fötter,30,076496,D01AE15
"Medel mot hosta och förkylning, Övriga kombinationsmedel","Sinupret forte, Dragerad tablett",Blister,"Gentiana lutea (gullgentiana) torkad rot; pulver,Primula veris (gullviva) blomma, pulver ,Rumex spp. (R. acetosa, R. acetosella, R. crispus, R. obtusi...,Sambucus nigra (fläder), blomma, pulver,Verbena officinalis (järnört), ört, pulver",st,"Förkylning, värk & feber",20,129235,R05X
"Medel mot hosta och förkylning, Övriga kombinationsmedel","Sinupret forte, Dragerad tablett",Blister,"Gentiana lutea (gullgentiana) torkad rot; pulver,Primula veris (gullviva) blomma, pulver ,Rumex spp. (R. acetosa, R. acetosella, R. crispus, R. obtusi...,Sambucus nigra (fläder), blomma, pulver,Verbena officinalis (järnört), ört, pulver",st,"Förkylning, värk & feber",50,456922,R05X
Antiinflammatoriskt medel med smärtstillande och febernedsättande verkan,"Ibuprofen Apofri, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",2,129546,M01AE01
Antiinflammatoriskt medel med smärtstillande och febernedsättande verkan,"Ibuprofen Apofri, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",10,097025,M01AE01
Antiinflammatoriskt medel med smärtstillande och febernedsättande verkan,"Ibuprofen Apofri, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",30,097036,M01AE01
Medel mot hosta och förkylning,"Esberitox, Tablett",Blister,Baptisia tinctoria (baptisia) rot / Echinacea pallida (läker...,st,"Förkylning, värk & feber",60,552878,R05
Medel mot hosta och förkylning,"Esberitox, Tablett",Blister,Baptisia tinctoria (baptisia) rot / Echinacea pallida (läker...,st,"Förkylning, värk & feber",100,455498,R05
Medel mot hosta och förkylning,"Esberitox, Tablett",Blister,Baptisia tinctoria (baptisia) rot / Echinacea pallida (läker...,st,"Förkylning, värk & feber",200,434285,R05
"Smärtstillande, febernedsättande och inflammationshämmande med koffein","Bamyl koffein, Brustablett 500 mg/50 mg",Rör,"Acetylsalicylsyra,Koffein",st,"Förkylning, värk & feber",25,417907,N02BA51
"Smärtstillande, febernedsättande och inflammationshämmande med koffein","Bamyl koffein, Brustablett 500 mg/50 mg",Rör,"Acetylsalicylsyra,Koffein",st,"Förkylning, värk & feber",50,042742,N02BA51
"Smärtstillande, febernedsättande och inflammationshämmande med koffein","Bamyl koffein, Brustablett 500 mg/50 mg",Rör,"Acetylsalicylsyra,Koffein",st,"Förkylning, värk & feber",75,417915,N02BA51
"Smärtstillande, febernedsättande och inflammationshämmande med koffein","Bamyl koffein, Brustablett 500 mg/50 mg",Rör,"Acetylsalicylsyra,Koffein",st,"Förkylning, värk & feber",100,042751,N02BA51
Avsvällande nässpray,"Nasoferm, Nässpray, lösning 1 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,501965,R01AA07
Avsvällande nässpray utan konserveringsmedel,"Zymelin Mentol, Nässpray, lösning 1 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,018306,R01AA07
Avsvällande nässpray,"Nasoferm, Nässpray, lösning 0,5 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,501973,R01AA07
Avsvällande nässpray,"Otrivin Menthol (utan konserveringsmedel), Nässpray, lösning 1 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,180539,R01AA07
Selektiva 5-HT1-receptoragonister,"Oriptan, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",2,150851,N02CC01
Selektiva 5-HT1-receptoragonister,"Oriptan, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",3,150863,N02CC01
Selektiva 5-HT1-receptoragonister,"Oriptan, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",4,150874,N02CC01
Selektiva 5-HT1-receptoragonister,"Oriptan, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",6,150885,N02CC01
Selektiva 5-HT1-receptoragonister,"Oriptan, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",12,150897,N02CC01
Selektiva 5-HT1-receptoragonister,"Oriptan, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",18,150908,N02CC01
"Nässpray och näsdroppar med långvarig, avsvällande effekt","Nezeril, Näsdroppar, lösning i endosbehållare 0,5 mg/ml",Endosbehållare,Oximetazolin,ml,"Förkylning, värk & feber",2,054403,R01AA05
"Nässpray med långvarig, avsvällande effekt","Nasin, Nässpray, lösning 0,5 mg/ml",Flaska,Oximetazolin,ml,"Förkylning, värk & feber",7.5,088492,R01AA05
Antiflogistikum med analgetisk och antipyretisk effekt,"Ignorin, Filmdragerad tablett 50 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",10,146482,M01AB05
Antiflogistikum med analgetisk och antipyretisk effekt,"Ignorin, Filmdragerad tablett 50 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",20,376010,M01AB05
Antiflogistikum med analgetisk och antipyretisk effekt,"Ignorin, Filmdragerad tablett 50 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",50,067198,M01AB05
Antiflogistikum med analgetisk och antipyretisk effekt,"Ignorin, Filmdragerad tablett 50 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",100,151854,M01AB05
"Analgetikum, antipyretikum","Alvedon, Munsönderfallande tablett 500 mg",Blister,Paracetamol,st,"Förkylning, värk & feber",16,007012,N02BE01
Medel mot hosta och förkylning,"Echinagard, Sugtablett",Blister,"Echinacea purpurea (röd solhatt), ört, torkad växtsaft (31.5...",st,"Förkylning, värk & feber",40,228023,R05
Medel mot hosta och förkylning,"Kan Jang, Oral lösning",Flaska,"Echinacea purpurea (röd solhatt) rot, extrakt (2,5-7,0:1) et...,Eleutherococcus senticosus (rysk rot) rot, tjockt extrakt (1...,Justicia adhatoda (malabarnöt) blad, extrakt (3,5-5,0:1) vat...",ml,"Förkylning, värk & feber",100,205801,R05
Medel mot hosta och förkylning,"Kan Jang, Oral lösning",Flaska,"Echinacea purpurea (röd solhatt) rot, extrakt (2,5-7,0:1) et...,Eleutherococcus senticosus (rysk rot) rot, tjockt extrakt (1...,Justicia adhatoda (malabarnöt) blad, extrakt (3,5-5,0:1) vat...",ml,"Förkylning, värk & feber",200,042502,R05
Medel mot hosta och förkylning,"Kan Jang, Oral lösning",Flaska,"Echinacea purpurea (röd solhatt) rot, extrakt (2,5-7,0:1) et...,Eleutherococcus senticosus (rysk rot) rot, tjockt extrakt (1...,Justicia adhatoda (malabarnöt) blad, extrakt (3,5-5,0:1) vat...",ml,"Förkylning, värk & feber",300,205802,R05
Medel mot hosta och förkylning,"Kan Jang, Oral lösning",Flaska,"Echinacea purpurea (röd solhatt) rot, extrakt (2,5-7,0:1) et...,Eleutherococcus senticosus (rysk rot) rot, tjockt extrakt (1...,Justicia adhatoda (malabarnöt) blad, extrakt (3,5-5,0:1) vat...",ml,"Förkylning, värk & feber",500,100512,R05
"Avsvällande och övriga medel för lokal behandling vid nässjukdomar, kortikosteroider, ATC-kod: R01A D09","Mommox, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,60,376754,R01AD09
"Avsvällande och övriga medel för lokal behandling vid nässjukdomar, kortikosteroider, ATC-kod: R01A D09","Mommox, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,140,526262,R01AD09
"Avsvällande och övriga medel för lokal behandling vid nässjukdomar, kortikosteroider, ATC-kod: R01A D09","Mommox, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,420,394832,R01AD09
Propulsionsdämpande medel,"Imolopesim, Tablett 2 mg/125 mg",Blister,"Dimetikon (Simetikon),Loperamid",st,Mage & tarm,12,444990,A07DA53
Tarmreglerande medel,"Movicol Apelsin, Koncentrat till oral lösning",Flaska,"Kaliumklorid,Makrogol,Natriumklorid,Natriumvätekarbonat",ml,Mage & tarm,500,497788,A06AD65
Antiseptikum,"Strepsils Honung & Citron, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,541169,R02AA03
Antiseptikum,"Strepsils Honung & Citron, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",36,127383,R02AA03
"Analgetikum, antipyretikum","Alvedon, Suppositorium 1 g",Strip,Paracetamol,st,"Förkylning, värk & feber",10,414615,N02BE01
"Analgetikum, antipyretikum","Alvedon, Suppositorium 1 g",Strip,Paracetamol,st,"Förkylning, värk & feber",50,176226,N02BE01
Antiseptikum,"Strepsils Apelsin, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,491668,R02AA03
"Nässpray och näsdroppar med långvarig, avsvällande effekt","Nezeril, Nässpray, lösning 0,5 mg/ml",Flaska,Oximetazolin,ml,"Förkylning, värk & feber",7.5,543744,R01AA05
Inflammationshämmande medel för lokal rinitbehandling,"Nasonex, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,60,023496,R01AD09
Inflammationshämmande medel för lokal rinitbehandling,"Nasonex, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,140,474551,R01AD09
Inflammationshämmande medel för lokal rinitbehandling,"Nasonex, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,140,023195,R01AD09
Inflammationshämmande medel för lokal rinitbehandling,"Nasonex, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,420,474643,R01AD09
Akut behandling av migrän med eller utan aura.,"Sumatriptan Sandoz, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",2,058238,N02CC01
Akut behandling av migrän med eller utan aura.,"Sumatriptan Sandoz, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",6,047952,N02CC01
Akut behandling av migrän med eller utan aura.,"Sumatriptan Sandoz, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",12,043798,N02CC01
Akut behandling av migrän med eller utan aura.,"Sumatriptan Sandoz, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",18,043816,N02CC01
Avsvällande nässpray,"Otrinex, Nässpray, lösning 1 mg/ml",Dosspray,Xylometazolin,ml,"Förkylning, värk & feber",10,174942,R01AA07
Avsvällande nässpray utan konserveringsmedel,"Zymelin, Nässpray, lösning 1 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,466742,R01AA07
Mukolytika,"Bisolvon Citron, Löslig tablett 8 mg",Blister,Bromhexin,st,"Förkylning, värk & feber",16,434038,R05CB02
Mukolytika,"Bisolvon, Tablett 8 mg",Blister,Bromhexin,st,"Förkylning, värk & feber",20,420976,R05CB02
Mukolytika,"Bisolvon, Tablett 8 mg",Blister,Bromhexin,st,"Förkylning, värk & feber",30,370281,R05CB02
Mukolytika,"Bisolvon, Tablett 8 mg",Blister,Bromhexin,st,"Förkylning, värk & feber",50,465757,R05CB02
Mukolytika,"Bisolvon, Tablett 8 mg",Blister,Bromhexin,st,"Förkylning, värk & feber",100,420984,R05CB02
Smärtstillande och febernedsättande medel,"Pinex Jordgubb, Oral lösning 24 mg/ml",Flaska,Paracetamol,ml,"Förkylning, värk & feber",100,056132,N02BE01
Antiseptika,"Strepsils Mint, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,026569,R02AA03
"Expektorantia, exkl. mukolytika","Bronwel, Sugtablett",Blister,Thymus vulgaris (kryddtimjan) / Thymus zygis (röd timjan) to...,st,"Förkylning, värk & feber",20,156522,R05CA
Antiseptikum,"Halzin Honung & Citron, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,538783,R02AA03
"Expektorantia, exkl. mukolytika","Bronwel Comp, Oral lösning",Flaska,"Althaea officinalis (läkemalva) torkat rot; flytande extrakt...,Thymus vulgaris (kryddtimjan) / Thymus zygis (röd timjan) to...",ml,"Förkylning, värk & feber",120,392102,R05CA10
"Expektorantia, exkl. mukolytika","Bronwel Comp, Oral lösning",Flaska,"Althaea officinalis (läkemalva) torkat rot; flytande extrakt...,Thymus vulgaris (kryddtimjan) / Thymus zygis (röd timjan) to...",ml,"Förkylning, värk & feber",200,082355,R05CA10
"Expektorantia, exkl. mukolytika","Bronwel Comp, Oral lösning",Flaska,"Althaea officinalis (läkemalva) torkat rot; flytande extrakt...,Thymus vulgaris (kryddtimjan) / Thymus zygis (röd timjan) to...",ml,"Förkylning, värk & feber",240,559661,R05CA10
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Glucosine, Filmdragerad tablett 625 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",60,024771,M01AX05
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Glucosine, Filmdragerad tablett 625 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",90,024782,M01AX05
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Glucosine, Filmdragerad tablett 625 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",180,024793,M01AX05
Övriga medel vid sjukdomar i strupe och svalg,"Strefen Apelsin, Sugtablett 8,75 mg",Blister,Flurbiprofen,st,"Förkylning, värk & feber",16,422614,R02AX01
Inflammationshämmande medel för lokal rinitbehandling,"Nasacort, Nässpray, suspension 55 mikrog/dos",Flaska,"Triamcinolon-16,17-acetonid",st,"Förkylning, värk & feber",120,159342,R01AD11
Inflammationshämmande medel för lokal rinitbehandling,"Nasacort, Nässpray, suspension 55 mikrog/dos",Flaska,"Triamcinolon-16,17-acetonid",st,"Förkylning, värk & feber",120,090662,R01AD11
Inflammationshämmande medel för lokal rinitbehandling,"Mometason Apofri, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,60,423026,R01AD09
Inflammationshämmande medel för lokal rinitbehandling,"Mometason Apofri, Nässpray, suspension 50 mikrog/dos",Flaska,Mometasonfuroat,st,Allergi,140,390439,R01AD09
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Ifenin, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",30,379038,M01AE01
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Ifenin, Filmdragerad tablett 200 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",30,514785,M01AE01
Avsvällande nässpray,"Teppzin, Nässpray, lösning 1 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,053628,R01AA07
Avsvällande nässpray,"Teppix, Nässpray, lösning 1 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,466282,R01AA07
Medel mot migrän,"Sumatriptan Teva, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",2,102141,N02CC01
Medel mot migrän,"Sumatriptan Teva, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",6,106051,N02CC01
Medel mot migrän,"Sumatriptan Teva, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",18,102159,N02CC01
Selektiv 5HT1-receptoragonist,"Sumatriptan Mylan, Filmdragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",2,125185,N02CC01
Medel mot migrän,"Sumatriptan Actavis, Dragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",2,170339,N02CC01
Medel mot migrän,"Sumatriptan Actavis, Dragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",6,054669,N02CC01
Medel mot migrän,"Sumatriptan Actavis, Dragerad tablett 50 mg",Blister,Sumatriptan,st,"Förkylning, värk & feber",18,054660,N02CC01
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 1 g",Blister,Nabumeton,st,"Förkylning, värk & feber",14,049269,M01AX01
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 1 g",Blister,Nabumeton,st,"Förkylning, värk & feber",20,023943,M01AX01
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 1 g",Blister,Nabumeton,st,"Förkylning, värk & feber",100,023981,M01AX01
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 1 g",Tablettburk,Nabumeton,st,"Förkylning, värk & feber",100,023992,M01AX01
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 1 g",Tablettburk,Nabumeton,st,"Förkylning, värk & feber",200,023925,M01AX01
Smärtstillande och febernedsättande medel,"Pinex Cappuccino, Granulat i dospåse 500 mg",Dospåse,Paracetamol,st,"Förkylning, värk & feber",10,545417,N02BE01
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Ibuprofen Actavis, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",10,035043,M01AE01
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Ibuprofen Actavis, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",30,035054,M01AE01
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Ibuprofen Actavis, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",100,035065,M01AE01
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Ibuprofen Actavis, Filmdragerad tablett 200 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",30,035021,M01AE01
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Ibuprofen Actavis, Filmdragerad tablett 200 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",100,035032,M01AE01
Medel vid artros,"Helaflex, Filmdragerad tablett",Blister,"Harpagophytum procumbens (djävulsklo) rot, torrextrakt (4,4-...",st,"Förkylning, värk & feber",50,205785,M09AX
Medel vid artros,"Helaflex, Filmdragerad tablett",Blister,"Harpagophytum procumbens (djävulsklo) rot, torrextrakt (4,4-...",st,"Förkylning, värk & feber",100,080989,M09AX
Medel mot hosta och förkylning.,"Echinaforce, Tablett",Burk,"Echinacea purpurea (röd solhatt) färsk ört; torrt extrakt (1...,Echinacea purpurea (röd solhatt), rot, extrakt",st,"Förkylning, värk & feber",120,097802,R05
Medel mot hosta och förkylning.,"Echinaforce, Orala droppar, lösning",Flaska,"Echinacea purpurea (röd solhatt), rot, extrakt (1:11) etanol...,Echinacea purpurea (röd solhatt), ört, extrakt (1:12) etanol...",ml,"Förkylning, värk & feber",50,097791,R05
Medel mot hosta och förkylning.,"Echinaforce, Orala droppar, lösning",Flaska,"Echinacea purpurea (röd solhatt), rot, extrakt (1:11) etanol...,Echinacea purpurea (röd solhatt), ört, extrakt (1:12) etanol...",ml,"Förkylning, värk & feber",100,493267,R05
Medel mot hosta och förkylning.,"Echinaforce, Orala droppar, lösning",Flaska,"Echinacea purpurea (röd solhatt), rot, extrakt (1:11) etanol...,Echinacea purpurea (röd solhatt), ört, extrakt (1:12) etanol...",ml,"Förkylning, värk & feber",200,119406,R05
Medel mot hosta och förkylning,"Echinacea Friggs, Brustablett",Burk,"Echinacea purpurea (röd solhatt), ört, torkad pressaft (20-2...",st,"Förkylning, värk & feber",20,074827,R05
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Glukosamin Apofri, Kapsel, hård 625 mg",Blister,Glukosamin,st,"Förkylning, värk & feber",60,177674,M01AX05
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID. Propionsyraderivat","Ibuzin, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",20,029559,M01AE01
Medel mot hosta och förkylning.,"Echinagard, Orala droppar, lösning",Flaska,"Echinacea purpurea (röd solhatt) ört, pressaft (1.7-2.5:1)",ml,"Förkylning, värk & feber",50,232355,R05
